participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
412,2837.0,intended,8.0,3.0,45.0,16.0,128.0,3407,3407,1.0,T
412,2387.0,intended,8.0,2.0,90.0,16.0,128.0,5849,5849,1.0,T
412,2318.0,intended,7.0,1.0,90.0,16.0,128.0,1505,1505,1.0,T
412,2906.0,intended,5.0,2.0,135.0,16.0,128.0,3806,3806,1.0,T
412,2294.0,intended,7.0,2.0,45.0,16.0,128.0,9299,9299,1.0,T
412,2071.0,intended,6.0,2.0,45.0,16.0,128.0,5315,5315,1.0,T
412,2859.0,intended,7.0,2.0,90.0,16.0,128.0,8205,8205,1.0,T
412,2549.0,intended,7.0,1.0,45.0,16.0,128.0,4247,4247,1.0,T
412,1909.0,intended,1.0,0.0,0.0,16.0,128.0,6855,6855,1.0,T
412,1981.0,intended,1.0,0.0,0.0,16.0,128.0,6860,6860,1.0,T
412,4525.0,intended,4.0,1.0,90.0,16.0,128.0,6897,6897,1.0,T
412,2926.0,intended,8.0,4.0,90.0,16.0,128.0,8372,8372,1.0,T
412,3020.0,intended,4.0,2.0,135.0,16.0,128.0,6141,6141,1.0,T
412,4048.0,intended,7.0,3.0,135.0,16.0,128.0,3395,3395,1.0,T
412,3197.0,intended,6.0,3.0,45.0,16.0,128.0,1199,1199,1.0,T
412,3082.0,50cm,7.0,3.0,90.0,16.0,128.0,6319,6319,1.0,T
412,2207.0,50cm,4.0,1.0,90.0,16.0,128.0,5071,5071,1.0,T
412,3738.0,50cm,5.0,1.0,90.0,16.0,128.0,5272,5272,1.0,T
412,2431.0,50cm,6.0,1.0,90.0,16.0,128.0,3244,3244,1.0,T
412,5896.0,50cm,7.0,4.0,90.0,16.0,128.0,1893,2893,0.75,F
412,2478.0,50cm,8.0,2.0,90.0,16.0,128.0,2198,2198,1.0,T
412,3105.0,50cm,8.0,2.0,135.0,16.0,128.0,4163,4163,1.0,T
412,3938.0,50cm,5.0,3.0,90.0,16.0,128.0,4779,4779,1.0,T
412,8530.0,50cm,4.0,2.0,135.0,16.0,128.0,6001,8001,0.75,F
412,2050.0,50cm,8.0,3.0,90.0,16.0,128.0,3341,3341,1.0,T
412,2140.0,50cm,7.0,1.0,45.0,16.0,128.0,3660,3660,1.0,T
412,1961.0,50cm,1.0,0.0,0.0,16.0,128.0,2066,2066,1.0,T
412,3287.0,50cm,7.0,1.0,90.0,16.0,128.0,4352,4352,1.0,T
412,2566.0,50cm,6.0,2.0,45.0,16.0,128.0,5271,5271,1.0,T
412,2363.0,50cm,5.0,1.0,135.0,16.0,128.0,7773,7773,1.0,T
412,2049.0,50cm,8.0,1.0,135.0,16.0,128.0,5751,5751,1.0,T
412,2297.0,50cm,1.0,0.0,0.0,16.0,128.0,5724,5724,1.0,T
412,3377.0,50cm,7.0,3.0,135.0,16.0,128.0,5789,5789,1.0,T
412,3688.0,50cm,6.0,3.0,45.0,16.0,128.0,3626,3626,1.0,T
412,2284.0,50cm,4.0,2.0,90.0,16.0,128.0,4244,4244,1.0,T
412,3080.0,50cm,8.0,3.0,135.0,16.0,128.0,4990,4990,1.0,T
412,5224.0,50cm,4.0,3.0,90.0,16.0,128.0,5601,5601,1.0,T
412,2162.0,50cm,7.0,2.0,90.0,16.0,128.0,2084,2034,0.75,F
412,4344.0,50cm,6.0,3.0,135.0,16.0,128.0,4138,4138,1.0,T
412,2588.0,50cm,5.0,2.0,90.0,16.0,128.0,4599,4599,1.0,T
412,1850.0,50cm,7.0,2.0,135.0,16.0,128.0,1461,1461,1.0,T
412,3467.0,50cm,3.0,2.0,90.0,16.0,128.0,9527,9527,1.0,T
412,3649.0,50cm,8.0,2.0,45.0,16.0,128.0,7328,7328,1.0,T
412,4095.0,50cm,6.0,2.0,90.0,16.0,128.0,1517,1517,1.0,T
412,2274.0,50cm,1.0,0.0,0.0,16.0,128.0,1988,1988,1.0,T
412,7140.0,50cm,5.0,3.0,135.0,16.0,128.0,7765,,0.0,F
412,2028.0,50cm,6.0,2.0,135.0,16.0,128.0,2249,2249,1.0,T
412,3466.0,50cm,7.0,3.0,45.0,16.0,128.0,2256,2256,1.0,T
412,4164.0,50cm,8.0,4.0,90.0,16.0,128.0,3462,3462,1.0,T
412,2117.0,50cm,7.0,1.0,135.0,16.0,128.0,4408,4408,1.0,T
412,2477.0,50cm,6.0,1.0,45.0,16.0,128.0,2481,2481,1.0,T
412,4165.0,50cm,8.0,3.0,45.0,16.0,128.0,2388,2388,1.0,T
412,2636.0,50cm,7.0,2.0,45.0,16.0,128.0,1761,1761,1.0,T
412,8034.0,50cm,6.0,3.0,90.0,16.0,128.0,3511,3511,1.0,T
412,3220.0,50cm,8.0,1.0,45.0,16.0,128.0,6794,6794,1.0,T
412,2179.0,50cm,6.0,1.0,135.0,16.0,128.0,4643,4643,1.0,T
412,3386.0,50cm,5.0,2.0,135.0,16.0,128.0,9750,9750,1.0,T
