participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
1022,1757.0,50cm,4.0,90.0,16.0,128.0,9775,
1022,12519.0,75cm,6.0,90.0,16.0,128.0,6439,9787
1022,2593.0,75cm,5.0,90.0,16.0,128.0,6052,
1022,1584.0,75cm,7.0,90.0,16.0,128.0,9716,
1022,2009.0,75cm,4.0,0.0,16.0,128.0,4878,1334
1022,3761.0,75cm,4.0,135.0,16.0,128.0,2805,
1022,3765.0,75cm,7.0,135.0,16.0,128.0,8789,2729
1022,2951.0,75cm,6.0,45.0,16.0,128.0,4003,6026
1022,2545.0,75cm,7.0,45.0,16.0,128.0,5853,7590
1022,2119.0,75cm,8.0,135.0,16.0,128.0,8058,1194
1022,1308.0,75cm,4.0,90.0,16.0,128.0,6990,
1022,1111.0,75cm,6.0,90.0,16.0,128.0,1999,
1022,5431.0,75cm,5.0,135.0,16.0,128.0,9911,5609
1022,2724.0,75cm,8.0,45.0,16.0,128.0,3599,7979
1022,2860.0,75cm,6.0,135.0,16.0,128.0,9326,4435
1022,3151.0,75cm,7.0,90.0,16.0,128.0,9887,8048
1022,3827.0,75cm,8.0,90.0,16.0,128.0,1442,3236
1022,2837.0,75cm,8.0,45.0,16.0,128.0,1132,8079
1022,2524.0,75cm,4.0,0.0,16.0,128.0,9160,2638
1022,3263.0,75cm,5.0,135.0,16.0,128.0,5290,8342
1022,1577.0,75cm,7.0,135.0,16.0,128.0,3703,1675
1022,3849.0,75cm,4.0,90.0,16.0,128.0,1378,5588
1022,2184.0,75cm,7.0,90.0,16.0,128.0,1519,7312
1022,1757.0,75cm,6.0,90.0,16.0,128.0,7611,6075
1022,2973.0,75cm,8.0,45.0,16.0,128.0,3948,5557
1022,3061.0,75cm,7.0,135.0,16.0,128.0,8520,4665
1022,2860.0,75cm,5.0,90.0,16.0,128.0,1685,8567
1022,1084.0,75cm,4.0,90.0,16.0,128.0,4456,
1022,3427.0,75cm,7.0,90.0,16.0,128.0,5046,7
1022,1877.0,75cm,7.0,45.0,16.0,128.0,9424,7727
1022,3985.0,75cm,6.0,45.0,16.0,128.0,5358,9219
1022,2544.0,75cm,7.0,45.0,16.0,128.0,1205,2281
1022,2137.0,75cm,8.0,135.0,16.0,128.0,6287,9075
1022,2094.0,75cm,6.0,45.0,16.0,128.0,4725,8332
1022,2433.0,75cm,6.0,135.0,16.0,128.0,5758,5193
1022,1735.0,75cm,8.0,90.0,16.0,128.0,5806,
1022,1607.0,75cm,4.0,0.0,16.0,128.0,9545,1256
1022,1959.0,75cm,8.0,90.0,16.0,128.0,4422,4644
1022,4254.0,75cm,6.0,135.0,16.0,128.0,9563,1451
1022,1331.0,75cm,3.0,90.0,16.0,128.0,5469,
1022,2866.0,75cm,8.0,135.0,16.0,128.0,4601,8914
1022,2006.0,75cm,5.0,90.0,16.0,128.0,1229,
1022,2237.0,75cm,5.0,135.0,16.0,128.0,7449,
1022,3338.0,intended,4.0,135.0,16.0,128.0,1461,8869
1022,1602.0,intended,4.0,0.0,16.0,128.0,3802,1334
1022,2634.0,intended,8.0,135.0,16.0,128.0,5267,1149
1022,1621.0,intended,7.0,45.0,16.0,128.0,4688,7590
1022,3308.0,intended,4.0,90.0,16.0,128.0,1016,3700
1022,1905.0,intended,7.0,45.0,16.0,128.0,3921,7727
1022,4104.0,intended,4.0,0.0,16.0,128.0,9466,1256
1022,2430.0,intended,7.0,90.0,16.0,128.0,6062,3895
1022,1688.0,intended,7.0,135.0,16.0,128.0,9713,4665
1022,2815.0,intended,8.0,135.0,16.0,128.0,2335,8924
1022,2657.0,intended,7.0,45.0,16.0,128.0,8394,2881
1022,2161.0,intended,8.0,135.0,16.0,128.0,1814,9075
1022,6327.0,intended,6.0,45.0,16.0,128.0,7461,5382
1022,1779.0,intended,8.0,45.0,16.0,128.0,4526,7979
1022,2161.0,intended,3.0,90.0,16.0,128.0,8511,9082
1022,1823.0,intended,6.0,45.0,16.0,128.0,5805,6023
1022,4030.0,intended,6.0,135.0,16.0,128.0,6757,6193
1022,1982.0,intended,6.0,45.0,16.0,128.0,6787,5219
1022,1825.0,intended,7.0,90.0,16.0,128.0,2026,2075
1022,5087.0,intended,7.0,135.0,16.0,128.0,6344,1675
1022,6524.0,intended,5.0,90.0,16.0,128.0,2900,8567
1022,2460.0,intended,4.0,90.0,16.0,128.0,7784,3242
1022,2320.0,intended,6.0,90.0,16.0,128.0,4701,9787
1022,2476.0,intended,4.0,0.0,16.0,128.0,6052,2638
1022,2657.0,intended,5.0,135.0,16.0,128.0,7394,8342
1022,2116.0,intended,5.0,90.0,16.0,128.0,3207,7390
1022,2613.0,intended,7.0,135.0,16.0,128.0,1472,2729
1022,2590.0,intended,5.0,135.0,16.0,128.0,8005,4702
1022,2432.0,intended,8.0,90.0,16.0,128.0,6248,9975
1022,3400.0,intended,6.0,135.0,16.0,128.0,3637,1493
1022,1757.0,intended,6.0,90.0,16.0,128.0,2991,7320
1022,2457.0,intended,7.0,90.0,16.0,128.0,4726,7312
1022,2000.0,intended,8.0,90.0,16.0,128.0,7768,3236
1022,1623.0,intended,5.0,90.0,16.0,128.0,2004,9480
1022,1689.0,intended,8.0,45.0,16.0,128.0,3341,8072
1022,2880.0,intended,6.0,135.0,16.0,128.0,1307,4435
1022,1399.0,intended,4.0,90.0,16.0,128.0,1237,5588
1022,1845.0,intended,6.0,90.0,16.0,128.0,3930,6003
1022,1646.0,intended,5.0,135.0,16.0,128.0,3899,6609
1022,2072.0,intended,7.0,90.0,16.0,128.0,5710,8048
1022,2882.0,intended,8.0,45.0,16.0,128.0,9816,5857
1022,2568.0,intended,8.0,90.0,16.0,128.0,7065,4644
1022,3036.0,100cm,6.0,45.0,16.0,128.0,6026,6026
1022,1847.0,100cm,4.0,0.0,16.0,128.0,1256,1256
1022,2678.0,100cm,4.0,135.0,16.0,128.0,8869,
1022,3136.0,100cm,6.0,45.0,16.0,128.0,9219,9219
1022,1038.0,100cm,4.0,90.0,16.0,128.0,9242,
1022,2306.0,100cm,6.0,135.0,16.0,128.0,6193,6193
1022,2342.0,100cm,7.0,90.0,16.0,128.0,7312,
1022,2664.0,100cm,7.0,90.0,16.0,128.0,8048,40
1022,4533.0,100cm,5.0,135.0,16.0,128.0,8342,8342
1022,2590.0,100cm,7.0,45.0,16.0,128.0,2881,2221
1022,4568.0,100cm,5.0,90.0,16.0,128.0,7390,
