participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
402,2211.0,75cm,5.0,90.0,16.0,128.0,9335,9335
402,882.0,75cm,7.0,90.0,16.0,128.0,8525,
402,617.0,75cm,6.0,135.0,16.0,128.0,3404,
402,2460.0,75cm,8.0,90.0,16.0,128.0,4835,4835
402,2500.0,75cm,8.0,135.0,16.0,128.0,3143,3295
402,2363.0,75cm,7.0,45.0,16.0,128.0,4357,4557
402,3676.0,75cm,8.0,90.0,16.0,128.0,5100,3600
402,6297.0,75cm,5.0,90.0,16.0,128.0,2519,2513
402,3759.0,75cm,4.0,0.0,16.0,128.0,9639,9639
402,973.0,75cm,3.0,90.0,16.0,128.0,8989,
402,1908.0,75cm,7.0,45.0,16.0,128.0,1922,1922
402,1816.0,75cm,6.0,135.0,16.0,128.0,8471,8471
402,947.0,75cm,4.0,90.0,16.0,128.0,2709,
402,460.0,75cm,6.0,45.0,16.0,128.0,1343,
402,481.0,75cm,4.0,90.0,16.0,128.0,8717,
402,841.0,75cm,6.0,90.0,16.0,128.0,9722,
402,2799.0,75cm,8.0,45.0,16.0,128.0,8253,8268
402,633.0,75cm,6.0,90.0,16.0,128.0,9641,
402,483.0,75cm,5.0,135.0,16.0,128.0,7744,
402,503.0,75cm,5.0,135.0,16.0,128.0,2256,
402,2190.0,75cm,4.0,0.0,16.0,128.0,9717,9717
402,1152.0,75cm,7.0,45.0,16.0,128.0,8017,
402,1898.0,75cm,4.0,90.0,16.0,128.0,2091,2091
402,882.0,75cm,4.0,135.0,16.0,128.0,9324,
402,1876.0,75cm,7.0,90.0,16.0,128.0,3872,3872
402,879.0,75cm,8.0,45.0,16.0,128.0,8076,
402,686.0,75cm,7.0,135.0,16.0,128.0,5897,
402,2279.0,75cm,7.0,135.0,16.0,128.0,4849,4848
402,747.0,75cm,7.0,90.0,16.0,128.0,7198,
402,3134.0,75cm,6.0,90.0,16.0,128.0,2859,2859
402,8531.0,75cm,8.0,135.0,16.0,128.0,4188,4188
402,1151.0,75cm,8.0,45.0,16.0,128.0,8043,
402,730.0,75cm,8.0,90.0,16.0,128.0,3641,
402,1987.0,75cm,6.0,45.0,16.0,128.0,5015,5015
402,2063.0,75cm,6.0,135.0,16.0,128.0,9466,9488
